# Plate      RA           DEC       xFocal      yFocal
  9813    263.954060   -9.804925  -54.951872  -92.699001
  9814    285.867060  -21.616424   -1.947703   83.711022
  9815    264.165130   -3.870369   56.398741 -247.155120
  9816    290.020360  -17.178189  -17.067428 -152.663460
  9817    282.908240  -14.507934 -171.863870   75.238014
  9818    287.671990  -16.802649   80.649495   -6.032500
  9819    267.237760   -0.060704 -135.813690 -175.961900
  9820    292.016490  -13.069341  -11.179214  -86.546260
  9821    269.756610   -2.691609  222.391610   90.649277
  9822    181.455220  -56.360613 -187.082540   50.648483
  9823    175.549750  -67.306336 -167.364580 -187.787860
  9824    222.220180  -73.477034 -108.510490  138.076340
  9825    224.936290  -45.241612  171.906130   83.009051
  9826    244.033450  -60.191025 -152.032240  164.286370
  9827    253.497140  -63.148088 -169.905160 -141.485610
  9828    257.506100  -60.960435  -33.846116  160.761180
  9829    235.957800  -39.461478  -75.303353 -215.946710
  9830    263.014130  -55.864413 -119.781340 -150.004420
  9831    239.991870  -36.509330   79.184731 -123.083140
  9832    264.258090  -50.780954  -70.733012 -136.464040
  9833    266.482430  -51.415132   63.937292 -239.788160
  9834    270.303860  -53.375596 -126.033670  121.202590
  9835    244.007270  -33.084827  142.639810 -127.164230
  9836    269.842970  -48.120554  101.874540   77.791937
  9837    248.684060  -30.220067  -36.741549  114.575830
  9838    273.312880  -43.101358   41.498877 -112.486290
  9850    170.119350    2.364445  186.684470 -117.972290
  9851    239.230300  -20.905909  137.091950   26.537627
  9852    241.965070  -22.165544  -24.503821  179.446150
  9853    243.437510  -25.431789 -111.847320  111.941300
  9854    239.156710  -24.336025  118.683870   -2.478407
  9855    244.961140  -21.909985  177.483050  -85.399543
  9856    347.490330   -5.145276 -107.324280  120.768650
